,a2_i,a2_j,a1_i,a1_j,b2_i,b2_j,b1_i,b1_j,y1,y2
236,0.0,3.0,3.0,1.0,5.0,2.0,0.0,0.0,1.0,2.0
237,0.0,2.0,3.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0
238,0.0,3.0,3.0,1.0,4.0,3.0,0.0,1.0,1.0,1.0
239,1.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0
240,1.0,4.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0
241,0.0,4.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0
242,0.0,4.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0
243,0.0,4.0,2.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0
244,0.0,3.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0
245,0.0,3.0,1.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0
246,0.0,4.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,1.0
247,0.0,4.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0
248,1.0,4.0,2.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0
249,1.0,4.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,1.0
250,1.0,4.0,2.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0
251,1.0,5.0,2.0,1.0,4.0,4.0,3.0,0.0,1.0,1.0
252,2.0,5.0,2.0,0.0,5.0,4.0,4.0,0.0,1.0,1.0
253,2.0,6.0,2.0,0.0,5.0,3.0,4.0,0.0,0.0,1.0
254,1.0,6.0,1.0,0.0,5.0,4.0,4.0,0.0,0.0,1.0
255,1.0,5.0,1.0,0.0,5.0,5.0,4.0,1.0,1.0,1.0
256,1.0,5.0,2.0,0.0,5.0,4.0,4.0,0.0,1.0,1.0
257,1.0,5.0,2.0,0.0,6.0,4.0,4.0,0.0,1.0,1.0
258,1.0,5.0,2.0,1.0,5.0,4.0,4.0,0.0,1.0,1.0
259,1.0,6.0,2.0,2.0,5.0,3.0,4.0,0.0,0.0,2.0
260,0.0,6.0,3.0,2.0,5.0,4.0,4.0,0.0,2.0,1.0
261,0.0,5.0,3.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0
262,0.0,4.0,2.0,1.0,5.0,3.0,3.0,1.0,1.0,2.0
263,0.0,4.0,2.0,1.0,6.0,3.0,3.0,2.0,1.0,2.0
264,0.0,3.0,2.0,2.0,6.0,4.0,3.0,2.0,1.0,2.0
265,0.0,2.0,2.0,2.0,6.0,4.0,3.0,2.0,1.0,2.0
266,0.0,2.0,2.0,1.0,6.0,4.0,2.0,2.0,1.0,2.0
267,0.0,2.0,2.0,0.0,6.0,3.0,3.0,2.0,1.0,2.0
268,1.0,2.0,3.0,0.0,5.0,3.0,3.0,1.0,0.0,1.0
269,0.0,2.0,3.0,0.0,5.0,2.0,2.0,1.0,1.0,1.0
270,0.0,2.0,4.0,0.0,5.0,3.0,2.0,1.0,1.0,1.0
271,1.0,2.0,4.0,0.0,4.0,3.0,3.0,1.0,0.0,1.0
